"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"4528","GO:0061061",0.00565835106466466,0.998427841067402,38,43,"muscle structure development","BP"
"901","GO:0007155",0.00587193505027772,0.997962070474116,49,57,"cell adhesion","BP"
"1902","GO:0030099",0.00867840090746926,0.997752490558038,32,36,"myeloid cell differentiation","BP"
"3968","GO:0051094",0.0111107944282698,0.994757455880288,72,88,"positive regulation of developmental process","BP"
"3791","GO:0048871",0.0112077378211958,0.996090979558497,42,49,"multicellular organismal-level homeostasis","BP"
"1034","GO:0008202",0.0134048432218372,1,12,12,"steroid metabolic process","BP"
"3957","GO:0051056",0.0155566782732078,0.998194366383564,18,19,"regulation of small GTPase mediated signal transduction","BP"
"3792","GO:0048872",0.0174704364991693,0.995073039532089,29,33,"homeostasis of number of cells","BP"
"274","GO:0002262",0.0182685605307943,0.996512312224384,21,23,"myeloid cell homeostasis","BP"
"5800","GO:1901888",0.0199251446108086,0.997591164744032,17,18,"regulation of cell junction assembly","BP"
"823","GO:0006954",0.0204313972894706,0.993441360463309,32,37,"inflammatory response","BP"
"2541","GO:0034330",0.023199603908182,0.990728397220392,43,51,"cell junction organization","BP"
"1953","GO:0030316",0.0237089623101568,1,11,11,"osteoclast differentiation","BP"
"3358","GO:0045785",0.025254989351568,0.994918373975226,20,22,"positive regulation of cell adhesion","BP"
"4066","GO:0051336",0.025538523716496,0.991563457991174,31,36,"regulation of hydrolase activity","BP"
"3287","GO:0045597",0.0270950230085599,0.988067243596185,48,58,"positive regulation of cell differentiation","BP"
"6662","Other",0.027125056563733,0.993033059495359,23,26,NA,NA
"1909","GO:0030155",0.028624772157672,0.990380304952503,31,36,"regulation of cell adhesion","BP"
"3072","GO:0043405",0.0338310236350686,1,10,10,"regulation of MAP kinase activity","BP"
"1851","GO:0022409",0.0349321120170774,1,10,10,"positive regulation of cell-cell adhesion","BP"
"4022","GO:0051240",0.035319986787465,0.980935448554532,71,89,"positive regulation of multicellular organismal process","BP"
"3321","GO:0045669",0.041847923589879,1,9,9,"positive regulation of osteoblast differentiation","BP"
"591","GO:0006261",0.0453738922297419,1,9,9,"DNA-templated DNA replication","BP"
"3563","GO:0046849",0.0465219966192998,1,9,9,"bone remodeling","BP"
"3708","GO:0048588",0.046750050232832,0.986883237294112,21,24,"developmental cell growth","BP"
"2189","GO:0032231",0.047189338036945,1,9,9,"regulation of actin filament bundle assembly","BP"
"5476","GO:0110020",0.0481798348971811,1,9,9,"regulation of actomyosin structure organization","BP"
"5965","GO:1903039",0.0492294220695775,1,9,9,"positive regulation of leukocyte cell-cell adhesion","BP"
"2104","GO:0031344",0.0497073895983115,0.976555838665849,44,54,"regulation of cell projection organization","BP"
"2501","GO:0034101",0.0507534060321858,0.988493946362744,17,19,"erythrocyte homeostasis","BP"
"191","GO:0001934",0.0514698412863585,0.97844759272051,35,42,"positive regulation of protein phosphorylation","BP"
"2898","GO:0042327",0.0514698412863585,0.97844759272051,35,42,"positive regulation of phosphorylation","BP"
"2540","GO:0034329",0.0536105621367642,0.98213885598441,25,29,"cell junction assembly","BP"
"189","GO:0001932",0.0546998625508942,0.973075488985639,47,58,"regulation of protein phosphorylation","BP"
"43","GO:0000381",0.056441480478024,1,8,8,"regulation of alternative mRNA splicing, via spliceosome","BP"
"344","GO:0002573",0.0570229102246567,0.986725321138506,17,19,"myeloid leukocyte differentiation","BP"
"5488","GO:0120035",0.0588908166107671,0.971634372970681,43,53,"regulation of plasma membrane bounded cell projection organization","BP"
"3220","GO:0045010",0.0597883530238585,1,8,8,"actin nucleation","BP"
"3003","GO:0043085",0.0611970132354931,0.971356601266316,40,49,"positive regulation of catalytic activity","BP"
"1910","GO:0030162",0.0619152038645924,0.973475320305003,33,40,"regulation of proteolysis","BP"
"546","GO:0006066",0.0628325873639051,1,8,8,"alcohol metabolic process","BP"
"1676","GO:0019220",0.0630848516541354,0.966837796200356,52,65,"regulation of phosphate metabolic process","BP"
"4004","GO:0051174",0.0630848516541354,0.966837796200356,52,65,"regulation of phosphorus metabolic process","BP"
"5489","GO:0120036",0.0631741199939367,0.962996528071319,72,92,"plasma membrane bounded cell projection organization","BP"
"2954","GO:0042742",0.0632475155033574,1,8,8,"defense response to bacterium","BP"
"2105","GO:0031345",0.0647727710905062,0.984607583501126,16,18,"negative regulation of cell projection organization","BP"
