"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"339","GO:0016757",0.038667310583324,1,6,6,"glycosyltransferase activity","MF"
"340","GO:0016758",0.038667310583324,1,6,6,"hexosyltransferase activity","MF"
"436","GO:0030246",0.0404851448073562,1,6,6,"carbohydrate binding","MF"
"435","GO:0030234",0.0519507512824518,0.986542663393984,13,16,"enzyme regulator activity","MF"
"223","GO:0008194",0.0642531680200643,1,5,5,"UDP-glycosyltransferase activity","MF"
"88","GO:0004497",0.0653758851583414,1,5,5,"monooxygenase activity","MF"
"330","GO:0016705",0.0653758851583414,1,5,5,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"667","GO:0098772",0.0679215498471994,0.970251130110317,24,33,"molecular function regulator activity","MF"
"122","GO:0004857",0.0888289141387041,0.98711647746697,7,8,"enzyme inhibitor activity","MF"
"722","GO:0140678",0.0888289141387041,0.98711647746697,7,8,"molecular function inhibitor activity","MF"
"695","GO:0140096",0.0973122937280012,0.953534868512296,24,34,"catalytic activity, acting on a protein","MF"
"310","GO:0016301",0.106192699608331,0.963564101815505,13,17,"kinase activity","MF"
"331","GO:0016709",0.113091188320739,1,4,4,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"105","GO:0004672",0.113648221322746,0.965421090633963,11,14,"protein kinase activity","MF"
"208","GO:0008017",0.135813196047377,1,4,4,"microtubule binding","MF"
"341","GO:0016772",0.13718039354805,0.9454149035556,14,19,"transferase activity, transferring phosphorus-containing groups","MF"
"37","GO:0003682",0.137529284422934,0.977537365113448,6,7,"chromatin binding","MF"
"497","GO:0035173",0.142684986350509,1,4,4,"histone kinase activity","MF"
"542","GO:0044024",0.142684986350509,1,4,4,"histone H2AS1 kinase activity","MF"
"731","GO:0140995",0.142684986350509,1,4,4,"histone H2A kinase activity","MF"
"342","GO:0016773",0.149780675330183,0.944554429866613,12,16,"phosphotransferase activity, alcohol group as acceptor","MF"
"334","GO:0016740",0.151433019321662,0.918366315968995,25,37,"transferase activity","MF"
"231","GO:0008270",0.182460797401727,0.968108356452668,5,6,"zinc ion binding","MF"
"652","GO:0070888",0.186900140433652,1,3,3,"E-box binding","MF"
"123","GO:0004864",0.189706037508502,1,3,3,"protein phosphatase inhibitor activity","MF"
"395","GO:0019208",0.189706037508502,1,3,3,"phosphatase regulator activity","MF"
"397","GO:0019212",0.189706037508502,1,3,3,"phosphatase inhibitor activity","MF"
