GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0005515	protein binding	3.82385257218268e-18	3.82385257218268e-18	+1	Pdgfb,Hbegf,Prag1,Ankrd1,Spata13,Kcnd3,Fras1,Wnt4,Plekha7,Edn1,Itga6,Igf2,Smoc1,Npr3,Cobl,Sema3c,Gadd45a,Fgfr2,Vegfa,Sema3d,Arhgap21,Tnfaip6,Lonrf1,Grem2,Adamts5,Cd200,Nlrp3,Anxa3,Jag1,Amot,Pard6b,Ehd3,Lrp12,Tnnt2,Akap5,Timp3,Lats2,Emilin2,Tnfsf18,Tnnc1,Hexim1,Nbas,Wwc2,Tek,Smtnl2,Klf5,Dlc1,Kdm2b,Ajuba,Stc2,Slc8a1,Sema6a,Cttnbp2nl,Rab11fip1,Sorbs2,Ppp1r12b,Fbln7,Lmo7,Plekhh2,Mns1,Syt11,Ddx20,Gata6,Crim1,Wsb1,Tnfrsf11b,Megf6,Cacnb4,Tle4,Tgfb2,Ppp1r9a,Rb1,Bcar3,Timeless,Ptprf,Shroom3,E2f1,Rusc2,Col14a1,Ksr1,Cdc6,Bmp3,Alcam,Tulp4,Afdn,Fgf13,Btg1,Paxbp1,Limch1,Asb15,Igsf9,Myc,Cep70,Pals2,Samd4a,Inka2,Lpar1,Dgat2,Gpsm1,Phactr4,Irak2,Bcam,Sh2d4a,Nrg1,Tprn,Traf4,Snap91,Map3k1,Chac1,Plxna2,Prrg4,Cfap52,Eda,Dusp10,Igfbp2,Cdc42ep2,Atf3,Asap3,Neb,Trim25,Smad6,Lrtm2,Foxc2,Caskin2,Dnah17,C1s,Lrrc8d,Tfdp2,Epb41l5,Sh2d3c,E2f2,Dsp,Rapgef3,Il23r,Tspan15,Mfrp,Hmgcs2,Nog,Bach2,Hacd4,Masp2,Mybphl,Arhgef26,Capn6,Etfbkmt,Cemip,Slc4a4,Dapk2,Pappa2,Fgf9,Sncaip,Reps2,Igf1,Dnah7,Dscam,Tubb3,Nebl,Emp2,Musk,Rragd,Sytl5,Rnd1,Kcnn1,Tbc1d2,Foxa1,Tex14,Fgf5,Wnt5b,Wnt9a,Selenbp1,Sema3e,Tlr7,Lrrc39,Ucp2,Spta1,Uchl1,Atp2a1,Svip,Rab9b,Tgm1,Lrch2,Enkur,Rnf151,Rap1gap,Anks1b,Synpo2l,Sema3g,Otogl,Itgb6,Sh3tc2,Colec10,Cntnap2,Mpp4,Fbxo47,Myod1,Hgd,Il18bp,Rad21l1,Apba2,Cfap70,Mttp,Adcy5,Bhlhe41,Trim66,Spata6l,Trim14,Mycl,Eps8l1,Tmprss9,Ankrd36,Calr4,Tnfrsf25,Col6a3,Txnip,Atp2b4,Ldlr,Tgfbi,Thy1,Trib2,Nqo1,Aspn,Lum,Col12a1,Synpo2,Hmgcs1,Lrp8,Dhcr24,Bgn,S100a4,Fst,Igf2r,Abcc9,Col3a1,Col18a1,Cd14,Igfbp7,Tsku,Col1a2,Mycn,Socs5,Hspb7,Ccl7,Gls2,Txn1,Prrx1,C1qtnf3,B2m,Col16a1,Kitlg,Vcan,Cpq,Lgals3,Creb3l1,Nsf,Lnx1,Hmgcr,Baiap2,Tgfb1,Arrdc3,Rab3d,Inf2,Itga4,Xbp1,Fdps,Lama4,Map1a,Laptm4b,Inhba,Dock4,Hspb6,Sv2a,Serpine1,Ccn4,Itga10,Mtus2,Id1,Ptprn,Ets1,Ltbp4,Col6a1,Ncald,Dnm1,Serpine2,Gng8,Rgs3,Mylip,Tnn,Islr,Ubash3b,Loxl3,Ssc5d,Rhobtb1,Runx2,Ezr,Klhl40,Capg,Cd109,Pth1r,Ppp1r3d,C1qtnf1,Flrt2,Trabd2b,Rxfp1,Ptch1,Fhl3,Ptprv,Syne3,Megf10,Rflnb,Lonrf2,Mgst2,Itga3,Htr2a,Klhl38,Cybrd1,Il6,Mvd,Gss,Sh3d21,Spsb4,Twist2,Per2,Vcam1,Ripk3,Thbs2,Gpsm2,Upp1,Gale,Ptges3l,Maf,Igfbp5,Rgs2,Synm,Cd38,Ldb3,Shc4,Ccl2,Hes1,Nostrin,Ephb2,Angpt4,Plk3,Crlf1,Tnfsf12,Rtn4rl1,Arhgef19,Klhl30,Kctd14,Cebpd,Has2,Tspan17,Rgs22,Tbx2,Fgf2,Cxcl1,Icam5,Kctd11,Spsb2,Ror2,Nr4a1,Pgf,Wdcp,Itgb3,Hey2,Tcf7,Atcay,Sphk1,Mmrn2,Htra3,Sparcl1,Ankrd34a,Rrm2b,Hcn4,Irf5,Gata2,Artn,Id4,Trpv2,Cryl1,Tnfrsf1b,Epyc,Hdac9,Osgin1,Ptn,Stac2,Setmar,Kctd21,Hck,Clec3b,Drc3,Tnfrsf26,Lama3,Sema4a,Tfec,Cercam,Spef1,Cx3cl1,Scg5,Omd,Traf1,Trim29,Epha3,Tmco6,Il20rb,C1qtnf7,Heyl,Stxbp2,Socs1,Gpr15lg,Dnai2,Gipc2,Ano1,Nox1,Scn4b,Ciita,Siah3,Larp6,Tcf23,Nrarp,Hjv,Cd180,Pclo,Gli1,Cryba4,Vtcn1,Eef1akmt3,Ppfia3,Fbxl16,Apob,Ankrd61,Scube2,Glra1,Pou2af3
GO:0005102	signaling receptor binding	2.19431822919832e-07	2.19431822919832e-07	+1	Pdgfb,Hbegf,Wnt4,Edn1,Igf2,Sema3c,Vegfa,Sema3d,Jag1,Tnfsf18,Stc2,Sema6a,Tgfb2,Bmp3,Fgf13,Nrg1,Traf4,Chac1,Eda,Cdc42ep2,Trim25,Smad6,Il23r,Fgf9,Igf1,Dscam,Tubb3,Emp2,Rnd1,Fgf5,Wnt5b,Wnt9a,Sema3e,Uchl1,Anks1b,Sema3g,Itgb6,Colec10,Eps8l1,Thy1,S100a4,Fst,Socs5,Ccl7,Col16a1,Kitlg,Lgals3,Nsf,Tgfb1,Arrdc3,Lama4,Inhba,Dock4,Serpine1,Dnm1,Serpine2,Tnn,Flrt2,Ptch1,Megf10,Il6,Vcam1,Shc4,Ccl2,Ephb2,Angpt4,Crlf1,Tnfsf12,Fgf2,Cxcl1,Icam5,Pgf,Itgb3,Artn,Osgin1,Ptn,Lama3,Sema4a,Cx3cl1,Traf1,Socs1,Gpr15lg,Vtcn1,Apob
GO:0005539	glycosaminoglycan binding	2.19431822919832e-07	2.19431822919832e-07	+1	Hbegf,Vegfa,Tnfaip6,Grem2,Adamts5,Fbln7,Adgrg1,Ptprf,Adamts15,Crispld2,Cemip,Bgn,Susd5,Col5a3,Vcan,Layn,Serpine2,Ptch1,Rtn4rl1,Hapln1,Hapln3,Ptn,Clec3b,Apob
GO:0005488	binding	2.52455317995761e-07	2.52455317995761e-07	+1	Adamts8,Pdgfb,Hbegf,Prag1,Ankrd1,Aif1l,Spata13,Kcnd3,Fras1,Wnt4,Plekha7,Edn1,Ptk2b,Cdh15,Itga6,Igf2,Smoc1,Npr3,Cobl,Sema3c,Gadd45a,Fgfr2,Vegfa,Sema3d,Arhgap21,Tnfaip6,Lonrf1,Grem2,Adamts5,Cd200,Nlrp3,Anxa3,Jag1,Amot,Pard6b,Ehd3,Lrp12,Tnnt2,Pcsk5,Akap5,Timp3,Lats2,Emilin2,Tnfsf18,Tnnc1,Hexim1,Osr1,Nbas,Tll1,Wwc2,Tek,Smtnl2,Klf5,Tnik,Dlc1,Kdm2b,Cdt1,Ajuba,Pim3,Car3,Mcm3,Stc2,Slc8a1,Sema6a,Cttnbp2nl,Plcb4,Rab11fip1,Sorbs2,Rps6ka5,Ppp1r12b,Fbln7,Jun,Lmo7,Heph,Plekhh2,Adgrg1,Mns1,Syt11,Ddx20,Gata6,Cyp2c11,Crim1,Bdh2,Wsb1,Tnfrsf11b,Megf6,Cacnb4,Tle4,Tgfb2,Cdkl5,Ppp1r9a,Myrf,Ebf3,Tead1,Rb1,Celf2,Bcar3,Timeless,Ptprf,Shroom3,E2f1,Adamts15,Rusc2,Sox11,Crispld2,Lmcd1,Col14a1,Abcd4,Ksr1,Cdc6,Bmp3,Alcam,Tulp4,Afdn,Fgf13,Btg1,Paxbp1,Limch1,Car1,Rab30,Asb15,Igsf9,Celsr2,Myc,Cep70,Pals2,Samd4a,Inka2,Lpar1,Dgat2,Gpsm1,Unc119,Phactr4,Irak2,Heg1,Bcam,Sh2d4a,Nrg1,Nt5c1b,Tprn,Traf4,Snap91,Map3k1,Chac1,Plxna2,Prrg4,Pim1,Cfap52,Eda,Creb5,Dusp10,Tead4,Igfbp2,Cdc42ep2,Atf3,Asap3,Neb,Trim25,Smad6,Plagl1,Lrtm2,Foxc2,Caskin2,Dnah17,Nrbp2,C1s,Lrrc8d,Tfdp2,Epb41l5,Sh2d3c,E2f2,Dsp,Rhbdl3,Ak7,Rapgef3,Il23r,Tspan15,LOC100360790,Rbm38,Mfrp,Hmgcs2,Nog,Bach2,Prkaa2,Hacd4,Masp2,Mybphl,Suox,Arhgef26,Capn6,Etfbkmt,Cemip,Slc4a4,Dapk2,Pappa2,Fgf9,Sncaip,Reps2,Igf1,Hsd17b8,Agbl3,Coq8a,Dnah7,Dscam,Tubb3,Nebl,Emp2,Musk,Rragd,Atp2c2,Sytl5,Hoxc10,Hunk,Rnd1,Kcnn1,Tbc1d2,Ticam2,Foxa1,Tex14,Fgf5,Wnt5b,Wnt9a,Cacna1e,Selenbp1,Sema3e,Pygm,Tlr7,Myl11,Clec4m,Abca8a,Rad51b,Map4k1,Lrrc39,Ucp2,Spta1,Zfyve28,Uchl1,Atp2a1,Svip,Rab9b,Oit3,Tgm1,Lrch2,Enkur,Rnf151,Rap1gap,Cdkl1,Cyp3a62,LOC120095751,Anks1b,Endou,LOC120099392,Synpo2l,Sema3g,Pim2,Lgals9,Otogl,Itgb6,Sh3tc2,Colec10,Cntnap2,Mpp4,Pcdhb11,Fbxo47,Nanos3,H1f6,Myod1,Cdc42bpg,Hgd,Il18bp,Rad21l1,Cfap45,Apba2,Cfap70,Cdk15,Arl5c,Abca8,Tfcp2l1,Chrnb2,Mttp,Adcy5,Bhlhe41,Trim66,Lvrn,Spata6l,Trim14,Cabyr,Mycl,Eps8l1,Tmprss9,Apold1,Lcn12,Apoc3,Ankrd36,Cyp2j10,Calr4,Tnfrsf25,Sycp1,Rnu6-173,Etv1,Col6a3,Txnip,Etv5,Atp2b4,Ldlr,Tgfbi,Etv4,Thy1,Trib2,Nqo1,Aspn,Anxa8,Col6a2,Lum,Col12a1,Synpo2,Phlda1,Hmgcs1,Lrp8,Scd,Sqle,Sod3,Cyp1b1,Dhcr24,Bgn,S100a4,Eno3,Fst,Car5b,Cyp51,Igf2r,Abcc9,Col3a1,Susd5,Col18a1,Cd14,Igfbp7,Prrx2,Tsku,Col5a3,Zfp36l2,Col1a2,Mycn,Socs5,Hspb7,Ccl7,Gls2,Txn1,Prrx1,Elk3,Foxs1,C1qtnf3,B2m,Dysf,Mgp,Col16a1,Kitlg,Vcan,Cpq,Lgals3,Creb3l1,Nsf,Lnx1,Cyth3,Arf2,Hmgcr,Baiap2,Fosl1,Tgfb1,Arrdc3,Rab3d,Galnt1,Inf2,Itga4,Xbp1,Fdps,Lama4,Map1a,Dmpk,Laptm4b,Loxl4,Inhba,Dock4,Hspb6,Trim47,Lgals1,Anxa7,Sv2a,Enpp1,Serpine1,Layn,Rexo2,Msmo1,Ccn4,Itga10,Mtus2,Id1,Ptprn,Ets1,Ltbp4,Col6a1,Rras,Ncald,Dnm1,Calml4,Cd248,Serpine2,Gng8,Rgs3,Mylip,Tnn,Islr,Ubash3b,Rhoj,Loxl3,Ssc5d,Rhobtb1,Bend6,Runx2,Eepd1,Ctbs,Ezr,Klhl40,Capg,Hmga1,Cd109,Pth1r,Cgref1,Ppp1r3d,C1qtnf1,Adgre5,Flrt2,Endod1,Trabd2b,Ak1,Wnk3,Rxfp1,Ptch1,Fhl3,Fgd6,Unc13a,Ptprv,Syne3,Tor4a,Megf10,Rflnb,Lonrf2,Setbp1,Mgst2,Itga3,Htr2a,Klhl38,Ptgs1,P2rx5,Cybrd1,Il6,Mvd,Gss,Sh3d21,Spsb4,Twist2,Per2,Vcam1,Ripk3,Thbs2,Gpsm2,Upp1,Gale,Ptges3l,Maf,Cdx2,Igfbp5,Rgs2,Synm,Cdkl2,Cd38,Ldb3,Shc4,Ccl2,Hes1,LOC108351606,Nostrin,Stard4,Jph2,Ephb2,Angpt4,Plk3,Crlf1,Sgk1,Tnfsf12,Rtn4rl1,Arhgef19,Rasl11a,RGD1309808,Klhl30,Kctd14,Maff,Cebpd,Has2,Tspan17,Csdc2,Hapln1,Rgs22,Tbx2,Fgf2,Cxcl1,Icam5,Kctd11,Bahcc1,Spsb2,Pcdh1,Nrk,Ror2,Nkx2-3,Pde4a,Nr4a1,Pgf,Wdcp,Map3k6,Tcea3,Itgb3,Hey2,Tcf7,Mapkapk3,Atcay,Sphk1,Mmrn2,Htra3,Sparcl1,Ankrd34a,Rrm2b,Hcn4,Hapln3,Irf5,Meox2,Gata2,Ak9,Cyp3a9,Artn,Id4,Trpv2,Cryl1,Tnfrsf1b,Epyc,Hdac9,Osgin1,Arc,Ptn,Agmo,Fosb,Mok,Kcnip3,Cdk18,Gcat,Stac2,Fbln2,Setmar,Kctd21,Hck,Clec3b,Drc3,Tnfrsf26,Lama3,Sema4a,Tfec,Cercam,Atp8a2,Gem,Casz1,Nudt6,Spef1,Cx3cl1,Scg5,Calcrl,Omd,Traf1,Ramp2,Aatk,Trim29,Epha3,Tmco6,Il20rb,C1qtnf7,Heyl,Stxbp2,Alpl,Rfx2,Socs1,Sulf2,Gpr15lg,Dnai2,Opn3,Gipc2,Celf3,Ano1,Enox1,Nox1,Dyrk3,Scn4b,Ciita,Siah3,Larp6,Tcf23,Creld1,Nrarp,Hjv,Plcd4,Cd180,Pclo,Gli1,Irgc,Cryba4,Vtcn1,S100a1,Cyp2s1,Eef1akmt3,Ppfia3,Fbxl16,Helz2,Apob,Ankrd61,Scube2,Mt2A,Glra1,Pou2af3
GO:0098772	molecular function regulator activity	2.52455317995761e-07	2.52455317995761e-07	+1	Pdgfb,Hbegf,Spata13,Edn1,Chn1,Igf2,Vegfa,Angptl4,Nlrp3,Anxa3,Timp3,Hexim1,Slc30a1,Dlc1,Ajuba,Stc2,Ppp1r12b,Tfpi,Crim1,Tgfb2,Bcar3,Rab3ip,Ppp4r4,Bmp3,Fgf13,Ralgps1,Inka2,Gpsm1,Phactr4,Nrg1,Cdc42ep2,Asap3,Smad6,Sh2d3c,Rapgef3,Lypd6b,Arhgef26,Serpina12,Fgf9,Igf1,Tbc1d2,Fgf5,Wnt9a,Sema3e,Rad51b,Lrcol1,Rap1gap,Itgb6,Colec10,Eps8l1,Serpina3c,Col6a3,Txnip,Spry4,Atp2b4,Trib2,Arhgap18,Serpinb7,Smap2,S100a4,Fst,Fxyd5,Serpinf1,Ccl7,Rin1,Kitlg,Lgals3,Cyth3,Hmgcr,Tgfb1,Rasa3,Dmpk,Inhba,Dock4,Fxyd1,Abr,Serpine1,Id1,Serpine2,Cd109,Flrt2,Fgd6,Mgst2,Htr2a,Il6,Gpsm2,Rgs2,Plekhg4,Ccl2,Angpt4,Crlf1,Rap1gap2,Arhgef19,Fgf2,Cxcl1,Pgf,Spint2,Artn,Osgin1,Arhgap6,Ptn,Cx3cl1,Scg5,Scn1b,Socs1,Pinlyp,Scn4b,Azin2,Tcf23
GO:0005509	calcium ion binding	1.61744142233162e-06	1.61744142233162e-06	+1	Aif1l,Cdh15,Smoc1,Tnfaip6,Anxa3,Jag1,Ehd3,Tnnc1,Tll1,Slc8a1,Plcb4,Fbln7,Megf6,E2f1,Celsr2,Heg1,Prrg4,C1s,Rhbdl3,Masp2,Reps2,Dnah7,Cacna1e,Myl11,Spta1,Atp2a1,Oit3,Pcdhb11,Cabyr,Calr4,Ldlr,Aspn,Anxa8,Lrp8,S100a4,Dysf,Mgp,Vcan,Anxa7,Ltbp4,Ncald,Calml4,Cd248,Cgref1,Adgre5,Unc13a,Thbs2,Pcdh1,Sparcl1,Kcnip3,Fbln2,Clec3b,Alpl,Sulf2,Creld1,Plcd4,S100a1,Scube2
GO:0050840	extracellular matrix binding	2.17507445949832e-05	2.17507445949832e-05	+1	Smoc1,Adamts5,Adgrg1,Adamts15,Bcam,Tgfbi,Bgn,Lgals3,Cd248,Ssc5d,Itgb3,Fbln2
GO:0030545	signaling receptor regulator activity	0.000125445749609384	0.000125445749609384	+1	Pdgfb,Hbegf,Edn1,Igf2,Vegfa,Stc2,Tgfb2,Bmp3,Fgf13,Nrg1,Cdc42ep2,Lypd6b,Fgf9,Igf1,Fgf5,Wnt9a,Sema3e,Colec10,S100a4,Fst,Ccl7,Kitlg,Lgals3,Tgfb1,Inhba,Flrt2,Il6,Ccl2,Angpt4,Crlf1,Fgf2,Cxcl1,Pgf,Artn,Osgin1,Ptn,Cx3cl1
GO:0008083	growth factor activity	0.000156529421987401	0.000156529421987401	+1	Pdgfb,Hbegf,Igf2,Vegfa,Tgfb2,Bmp3,Fgf13,Fgf9,Igf1,Fgf5,Tgfb1,Inhba,Fgf2,Pgf,Artn,Osgin1,Ptn
GO:0008201	heparin binding	0.000156529421987401	0.000156529421987401	+1	Hbegf,Vegfa,Grem2,Adamts5,Fbln7,Adgrg1,Adamts15,Crispld2,Col5a3,Serpine2,Ptch1,Rtn4rl1,Ptn,Clec3b,Apob
