GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0071944	cell periphery	1.39367696050394e-28	1.39367696050394e-28	+1	Adamts8,Hbegf,Kcnd3,Fras1,Cdh15,Itga6,Cobl,Fgfr2,Vegfa,Arhgap21,Adamts5,Anxa3,Jag1,Amot,Pard6b,Ehd3,Lrp12,Akap5,Timp3,Slc30a1,Tek,Tnik,Dlc1,Slc8a1,Gprc5a,Itga8,Fbln7,Lmo7,Heph,Plekhh2,Syt11,Tnfrsf11b,Cacnb4,Tgfb2,Rell1,Ppp1r9a,Adamts15,Sox11,Crispld2,Col14a1,Alcam,Cldn15,Celsr2,Pals2,Lpar1,Bcam,Plxna2,Prrg4,Sgms2,Eda,Tbxa2r,Prss12,Cdc42ep2,Panx3,Lrrc8d,Epb41l5,Siglec1,Dsp,Rapgef3,Il23r,Tmprss11a,Tspan15,Gjc2,Serpina12,Cemip,Slc4a4,Igf1,Hsd17b8,Dscam,Tubb3,Emp2,Atp2c2,Rnd1,Tbc1d2,Ticam2,Gpc2,Cacna1e,Tlr7,Clec4m,Spta1,Mfsd2a,Uchl1,Cldn19,Plp1,Chrm3,Anks1b,Ecscr,Itgb6,Sh3tc2,Cntnap2,Pcdhb11,Plxdc1,Abca8,Chrnb2,Adcy5,Eps8l1,Tmprss9,Lcn12,Tnfrsf25,Scn11a,Col6a3,Atp2b4,Ldlr,Tgfbi,Thy1,Aspn,Col6a2,Lum,Arhgap18,Ptgfr,Lrp8,Sod3,Cd82,Bgn,Slc29a1,Eno3,Abcc9,Col3a1,Cd14,Adam12,Sgcg,Col5a3,Avpr1a,Col1a2,Rin1,Il18rap,B2m,Dysf,Mgp,Ednra,Kitlg,Vcan,Lgals3,Nsf,Cyth3,Baiap2,Tgfb1,Arrdc3,Rasa3,Itga4,Lama4,Dmpk,Laptm4b,Dock4,Slc41a2,Serpine1,Itga10,Gja5,Ltbp4,Col6a1,Dnm1,Serpine2,Blvrb,Nalcn,Gng8,Tnn,Rhoj,Ssc5d,Tmprss11b,Sgcb,Emp3,Ezr,Cd109,Pth1r,C1qtnf1,Ggt5,Flrt2,Exoc3l2,Grpr,Trabd2b,Gpr88,Ptch1,Sync,Kcnq5,Megf10,Mgst2,Itga3,Htr2a,Mfap4,P2rx5,Cybrd1,Slc43a2,Slc43a1,Slc26a7,Vcam1,Thbs2,Gpsm2,Slc16a9,Rgs2,Synm,Cd38,Ephb2,Rtn4rl1,Fut4,Rap1gap2,Adam23,Has2,Hapln1,Icam5,Pcdh1,Pde4a,Itgb3,Sphk1,Mmrn2,Sparcl1,Hcn4,Col15a1,Trpv2,Col4a6,Epyc,Arc,Stac2,Hck,Colq,Lama3,Atp8a2,Gem,Spef1,Grin3b,Calcrl,Omd,Scn1b,Epha3,Sspn,Stxbp2,Alpl,Sulf2,Dnajc6,LOC100302465,Dnai2,Opn3,Ano1,Enox1,Nox1,Scn4b,Cnga1,Plcd4,Cd180,Pclo,Mcoln3,Vtcn1,Ppfia3,Glra1
GO:0030312	external encapsulating structure	8.38693954541148e-17	8.38693954541148e-17	+1	Adamts8,Fras1,Fgfr2,Vegfa,Adamts5,Timp3,Fbln7,Tnfrsf11b,Tgfb2,Adamts15,Crispld2,Col14a1,Gpc2,Col6a3,Tgfbi,Aspn,Col6a2,Lum,Sod3,Bgn,Col3a1,Col5a3,Col1a2,Mgp,Vcan,Tgfb1,Lama4,Serpine1,Ltbp4,Col6a1,Serpine2,Tnn,Ssc5d,Mfap4,Thbs2,Hapln1,Mmrn2,Sparcl1,Col15a1,Col4a6,Epyc,Lama3,Omd,Alpl
GO:0031012	extracellular matrix	8.38693954541148e-17	8.38693954541148e-17	+1	Adamts8,Fras1,Fgfr2,Vegfa,Adamts5,Timp3,Fbln7,Tnfrsf11b,Tgfb2,Adamts15,Crispld2,Col14a1,Gpc2,Col6a3,Tgfbi,Aspn,Col6a2,Lum,Sod3,Bgn,Col3a1,Col5a3,Col1a2,Mgp,Vcan,Tgfb1,Lama4,Serpine1,Ltbp4,Col6a1,Serpine2,Tnn,Ssc5d,Mfap4,Thbs2,Hapln1,Mmrn2,Sparcl1,Col15a1,Col4a6,Epyc,Lama3,Omd,Alpl
GO:0005576	extracellular region	2.25103201913537e-16	2.25103201913537e-16	+1	Hbegf,Wnt4,Edn1,Igf2,Sema3c,Vegfa,Tnfaip6,Grem2,Angptl4,Adamts5,Pcsk5,Emilin2,Stc2,Fbln7,Tfpi,Crim1,Tnfrsf11b,Tgfb2,Adamts15,Crispld2,Bmp3,Nrg1,Prrg4,Igfbp2,Prss12,Pappa,Tmprss11a,Nog,Serpina12,Fgf9,Igf1,Wnt5b,Wnt9a,Lrcol1,Gpld1,Colec10,Apold1,Lcn12,Apoc3,Serpina3c,Col6a3,Tgfbi,Col6a2,Ptgfr,Lrp8,Serpinb7,Sod3,S100a4,Cd14,Igfbp7,Serpinf1,Tsku,Col1a2,Ccl7,Txn1,Mgp,Kitlg,Vcan,Cpq,Tgfb1,Lama4,Inhba,Hspb6,Lgals1,Serpine1,Ccn4,Col6a1,Serpine2,Loxl3,Ssc5d,Tmprss11b,Cd109,C1qtnf1,Flrt2,Mfap4,Il6,Vcam1,Thbs2,Igfbp5,Ccl2,LOC108351606,Angpt4,Crlf1,Tnfsf12,RGD1309808,Has2,Fgf2,Cxcl1,Adamts14,Mmrn2,Htra3,Sparcl1,Artn,Ptn,Fbln2,Clec3b,Cx3cl1,Alpl,Sulf2,Pinlyp,Hjv,Defb37,Dkk3,Apob,Scube2
GO:0005886	plasma membrane	2.94229605044332e-16	2.94229605044332e-16	+1	Hbegf,Kcnd3,Cdh15,Itga6,Fgfr2,Arhgap21,Anxa3,Jag1,Amot,Pard6b,Ehd3,Lrp12,Akap5,Slc30a1,Tek,Tnik,Dlc1,Slc8a1,Gprc5a,Itga8,Lmo7,Heph,Plekhh2,Syt11,Cacnb4,Rell1,Sox11,Alcam,Cldn15,Celsr2,Pals2,Lpar1,Bcam,Plxna2,Prrg4,Sgms2,Eda,Tbxa2r,Prss12,Cdc42ep2,Panx3,Lrrc8d,Epb41l5,Siglec1,Dsp,Rapgef3,Il23r,Tmprss11a,Tspan15,Gjc2,Serpina12,Cemip,Slc4a4,Igf1,Hsd17b8,Dscam,Emp2,Atp2c2,Rnd1,Tbc1d2,Ticam2,Gpc2,Cacna1e,Tlr7,Clec4m,Mfsd2a,Uchl1,Cldn19,Plp1,Chrm3,Anks1b,Ecscr,Itgb6,Sh3tc2,Cntnap2,Pcdhb11,Plxdc1,Abca8,Chrnb2,Adcy5,Eps8l1,Tmprss9,Lcn12,Tnfrsf25,Scn11a,Col6a3,Atp2b4,Ldlr,Thy1,Col6a2,Arhgap18,Ptgfr,Lrp8,Cd82,Bgn,Slc29a1,Eno3,Abcc9,Cd14,Adam12,Sgcg,Avpr1a,Rin1,Il18rap,B2m,Dysf,Kitlg,Lgals3,Nsf,Cyth3,Baiap2,Arrdc3,Rasa3,Itga4,Dmpk,Laptm4b,Dock4,Slc41a2,Itga10,Gja5,Col6a1,Dnm1,Blvrb,Nalcn,Gng8,Rhoj,Tmprss11b,Sgcb,Emp3,Ezr,Cd109,Pth1r,C1qtnf1,Ggt5,Flrt2,Grpr,Trabd2b,Gpr88,Ptch1,Sync,Kcnq5,Megf10,Mgst2,Itga3,Htr2a,P2rx5,Cybrd1,Slc43a2,Slc43a1,Slc26a7,Vcam1,Slc16a9,Rgs2,Synm,Cd38,Ephb2,Rtn4rl1,Rap1gap2,Adam23,Has2,Icam5,Pcdh1,Pde4a,Itgb3,Sphk1,Hcn4,Trpv2,Arc,Stac2,Hck,Colq,Atp8a2,Gem,Spef1,Grin3b,Calcrl,Scn1b,Epha3,Sspn,Stxbp2,Alpl,Sulf2,Dnajc6,LOC100302465,Dnai2,Opn3,Ano1,Enox1,Nox1,Scn4b,Cnga1,Plcd4,Cd180,Mcoln3,Vtcn1,Glra1
GO:0062023	collagen-containing extracellular matrix	3.10151109101753e-13	3.10151109101753e-13	+1	Adamts8,Fras1,Fgfr2,Vegfa,Adamts5,Timp3,Tgfb2,Adamts15,Col14a1,Gpc2,Lum,Sod3,Col3a1,Col5a3,Col1a2,Mgp,Vcan,Lama4,Serpine1,Ltbp4,Col6a1,Serpine2,Tnn,Ssc5d,Mfap4,Thbs2,Mmrn2,Sparcl1,Col15a1,Col4a6,Lama3
GO:0005737	cytoplasm	1.06216274553453e-12	1.06216274553453e-12	+1	Ankrd1,Plekha7,Edn1,Ptk2b,Cdh15,Cobl,Gadd45a,Fgfr2,Vegfa,Arhgap21,Gadd45b,Nlrp3,Anxa3,Amot,Pard6b,Ehd3,Tnnt2,Pcsk5,Lats2,Tnnc1,Hexim1,Nbas,Tdrp,Wwc2,Slc30a1,Tnik,Dlc1,Ajuba,Pim3,Car3,Mcm3,Stc2,Slc8a1,Rnf122,Plcb4,Rab11fip1,Rps6ka5,Itga8,Lmo7,Plekhh2,Gatm,Mns1,Syt11,Ddx20,Cyp2c11,Bdh2,Gadd45g,Ppp1r9a,Myrf,Celf2,Rab3ip,E2f1,Rusc2,Crispld2,Ppp4r4,Cdc6,Tulp4,Btg1,Krt7,Rab30,Celsr2,Samd4a,Lpar1,Dgat2,Gpsm1,Tmem108,Sh2d4a,Nt5c1b,Traf4,Dgke,Snap91,Chac1,Sgms2,Pim1,Eda,Dusp10,Tead4,Prss12,Cdc42ep2,Asap3,Cndp1,Neb,Ugcg,Trim25,Smad6,Plagl1,Tmem86a,Dnah17,Nrbp2,Cbx7,Lrrc8d,Epb41l5,Sh2d3c,Dcdc2,Exosc6,N4bp3,Rapgef3,Tspan15,Hmgcs2,Bach2,Prkaa2,Hacd4,Vamp1,Mybphl,Zdhhc15,Capn6,Etfbkmt,Cemip,Dapk2,Sncaip,Hsd17b8,Coq8a,Dnah7,Cables1,Tubb3,Nebl,Emp2,Iqub,Rragd,Atp2c2,Tbc1d2,Birc3,Ticam2,Gpc2,Tlr7,Ucp2,Spta1,Zfyve28,Uchl1,Atp2a1,Svip,Rab9b,Cldn19,Enkur,Baalc,Rap1gap,Cfap141,Anks1b,Endou,Ecscr,Mturn,Meioc,Hap1,Gpld1,Sh3tc2,Colec10,Cntnap2,Mpp4,Plxdc1,Actl7a,Nanos3,Cdc42bpg,Cfap45,Cfap70,Abca8,Tfcp2l1,Mttp,Actl7b,Pmfbp1,Trim14,Slc25a29,Eps8l1,Calr4,Actc1,Ptpn18,Inava,Txnip,Spry4,Atp2b4,Ldlr,Tgfbi,Thy1,Nqo1,Dusp6,Arhgap18,Synpo2,Ptgfr,Sncg,Scd,Smap2,Cyp1b1,Kcnj8,Dhcr24,Bgn,S100a4,Eno3,Fst,Car5b,Scara3,Igf2r,Abcc9,Cd14,Scd2,Dram1,Zfp36l2,Avpr1a,Glud1,Hspb7,Gls2,Txn1,Prrx1,Elk3,Rin1,Sesn3,B2m,Dysf,Ift57,Kitlg,Cpq,Lgals3,Creb3l1,Nsf,Lnx1,Cyth3,Arf2,Hmgcr,Baiap2,Ap1s2,Tgfb1,Arrdc3,Rab3d,Galnt1,Lss,Inf2,Fdft1,Xbp1,Fdps,Copz2,Dmpk,Nsdhl,Laptm4b,Inhba,Dock4,Hspb6,Trim47,Lgals1,Sv2a,Rexo2,Ccn4,Mtus2,Id1,Ptprn,Idi1,Hsd17b7,Col6a1,Dnm1,Cd248,Serpine2,Blvrb,Selenom,Loxl3,Runx2,Tent5a,Ezr,Capg,Cd109,Exoc3l2,RGD1564899,Ak1,Wnk3,Ptch1,Fhl3,Sync,Kcnq5,Def6,Ptgs1,Fam217b,P2rx5,Mvd,Acss2,Spsb4,Slc26a7,Twist2,Per2,Card19,Vcam1,Ripk3,Thbs2,Gpsm2,Upp1,Maf,Rgs2,Synm,Ldb3,Hes1,Stard4,Jph2,Plk3,Tnfsf12,Fut4,Rap1gap2,Pxmp4,Shisa2,Maff,Has2,Mageb18,Rgs22,Tbx2,Spsb2,Pde4a,Nr4a1,Itgb3,Hey2,Atcay,Sphk1,Cox6a2,Rrm2b,Hcn4,Irf5,Meox2,Gata2,Spint2,Ak9,Id4,Cryl1,Hdac9,Arc,Arhgap6,Ptn,Agmo,Gcat,Hck,Clec3b,Drc3,Lama3,Tfec,Atp8a2,Casz1,Nudt6,Spef1,Scg5,Calcrl,Ramp2,Trim29,Epha3,Pierce2,Sspn,Heyl,Stxbp2,Alpl,Socs1,Pcyt1b,Sulf2,LOC100302465,Dnai2,Opn3,Celf3,Nox1,Dyrk3,Ciita,Siah3,Larp6,Azin2,Plcd4,Pclo,Gli1,Mcoln3,Cyp2s1,Eef1akmt3,LOC120093238,Ppfia3,Helz2,Apob,Glra1,Pou2af3
GO:0005615	extracellular space	3.57143720368353e-09	3.57143720368353e-09	+1	Hbegf,Edn1,Igf2,Sema3c,Vegfa,Grem2,Angptl4,Adamts5,Pcsk5,Fbln7,Tnfrsf11b,Tgfb2,Adamts15,Nrg1,Igfbp2,Nog,Serpina12,Fgf9,Igf1,Gpld1,Colec10,Serpina3c,Col6a3,Tgfbi,Lrp8,Serpinb7,Sod3,S100a4,Cd14,Serpinf1,Tsku,Col1a2,Ccl7,Kitlg,Vcan,Cpq,Tgfb1,Inhba,Lgals1,Serpine1,Ccn4,Serpine2,Loxl3,Ssc5d,Cd109,C1qtnf1,Flrt2,Il6,Vcam1,Igfbp5,Ccl2,Angpt4,Fgf2,Cxcl1,Mmrn2,Sparcl1,Artn,Ptn,Clec3b,Hjv,Apob,Scube2
GO:0099081	supramolecular polymer	4.15102432188726e-07	4.15102432188726e-07	+1	Ankrd1,Cobl,Amot,Tnnt2,Tnnc1,Tek,Slc8a1,Mns1,Krt7,Neb,Dsp,Mybphl,Capn6,Tubb3,Nebl,Krt80,Enkur,Cfap141,Cfap45,Actc1,Atp2b4,Lum,Arhgap18,Synpo2,Kcnj8,Abcc9,Col3a1,Lmna,Col5a3,Col1a2,Rab3d,Map1a,Mtus2,Ltbp4,Col6a1,Dnm1,Ezr,RGD1564899,Ak1,Fhl3,Sync,Des,Mfap4,Synm,Ldb3,Jph2,Col4a6,Hck,Spef1,Pierce2
GO:0042995	cell projection	6.29107167943816e-07	6.29107167943816e-07	+1	Ptk2b,Cobl,Cd200,Amot,Ehd3,Pcsk5,Tek,Dlc1,Ajuba,Slc8a1,Plcb4,Plekhh2,Adgrg1,Mns1,Syt11,C2cd3,Cdkl5,Ppp1r9a,Ptprf,Alcam,Igsf9,Phactr4,Tmem108,Tprn,Cfap100,Prss12,Asap3,Dnah17,Epb41l5,Dcdc2,Rapgef3,Prkaa2,Dnah7,Dscam,Tubb3,Iqub,Gpr19,Foxa1,Uchl1,Enkur,Cfap141,Anks1b,Cntnap2,Actl7a,LOC103690152,Cfap45,Cfap70,Adcy5,Eps8l1,Scn11a,Atp2b4,Arhgap18,Sncg,Ift57,Kitlg,Vcan,Cyth3,Baiap2,Laptm4b,Dock4,Sv2a,Dnm1,Tnn,Ezr,Ak1,Gpr88,Ptch1,Itga3,Ptgs1,Cybrd1,Slc43a1,Vcam1,Ephb2,Itgb3,Atcay,Trpv2,Arc,Mok,Drc3,Spef1,Scn1b,Pierce2,Dnai2,Azin2,Cnga1,Gli1,Glra1
